Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
39206435,6217379,19758,1152633,R5.4 - AI for the detection of denigrating or discriminatory content and behavior towards women and girls in social networks,1152632,R5.3 - AI for gender bias detection in recruitment processes or deliberative bureaucracies,43197032,48103960,1152633,1152632,2020-11-30 18:48:24 UTC,2020-11-30 18:48:24 UTC,10.225,"",FALSE,a4823ac651c8ade23724f313d4d1863e,SDG5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
39206441,6217379,19758,1152630,R5.1 - Basic and specialized training in new technologies for girls and women,1152632,R5.3 - AI for gender bias detection in recruitment processes or deliberative bureaucracies,43197029,48103967,1152630,1152632,2020-11-30 18:48:35 UTC,2020-11-30 18:48:35 UTC,10.536,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
39206442,6217379,19758,1152630,R5.1 - Basic and specialized training in new technologies for girls and women,1152632,R5.3 - AI for gender bias detection in recruitment processes or deliberative bureaucracies,43197029,48103974,1152630,1152632,2020-11-30 18:48:38 UTC,2020-11-30 18:48:38 UTC,2.732,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
39206444,6217379,19758,1152631,"R5.2 - Development, and enforcement, of strong legislation in defense of women and girls",1152633,R5.4 - AI for the detection of denigrating or discriminatory content and behavior towards women and girls in social networks,43197033,48103975,1152631,1152633,2020-11-30 18:48:42 UTC,2020-11-30 18:48:42 UTC,3.82,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
39555655,6230529,19758,1152631,"R5.2 - Development, and enforcement, of strong legislation in defense of women and girls",1152632,R5.3 - AI for gender bias detection in recruitment processes or deliberative bureaucracies,43197036,48479417,1152632,1152631,2020-12-10 10:40:45 UTC,2020-12-10 10:40:45 UTC,21.138,"",TRUE,533e4cce8df2fa2bb2956088b316ea30,SDG5,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",http://dasci.es/,FALSE,NA
39555656,6230529,19758,1152632,R5.3 - AI for gender bias detection in recruitment processes or deliberative bureaucracies,1152630,R5.1 - Basic and specialized training in new technologies for girls and women,43197029,48479418,1152630,1152632,2020-12-10 10:41:05 UTC,2020-12-10 10:41:05 UTC,19.788,"",TRUE,533e4cce8df2fa2bb2956088b316ea30,SDG5,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",http://dasci.es/,FALSE,NA
39555657,6230529,19758,1152633,R5.4 - AI for the detection of denigrating or discriminatory content and behavior towards women and girls in social networks,1152631,"R5.2 - Development, and enforcement, of strong legislation in defense of women and girls",43197035,48479419,1152633,1152631,2020-12-10 10:42:04 UTC,2020-12-10 10:42:04 UTC,58.828,"",TRUE,533e4cce8df2fa2bb2956088b316ea30,SDG5,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",http://dasci.es/,FALSE,NA
39555658,6230529,19758,1152631,"R5.2 - Development, and enforcement, of strong legislation in defense of women and girls",1152630,R5.1 - Basic and specialized training in new technologies for girls and women,43197034,48479420,1152630,1152631,2020-12-10 10:42:16 UTC,2020-12-10 10:42:16 UTC,11.74,"",TRUE,533e4cce8df2fa2bb2956088b316ea30,SDG5,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",http://dasci.es/,FALSE,NA
39800544,6243663,19758,1152632,R5.3 - AI for gender bias detection in recruitment processes or deliberative bureaucracies,1152633,R5.4 - AI for the detection of denigrating or discriminatory content and behavior towards women and girls in social networks,43197032,48753363,1152633,1152632,2020-12-19 13:20:44 UTC,2020-12-19 13:20:44 UTC,4.699,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800545,6243663,19758,1152632,R5.3 - AI for gender bias detection in recruitment processes or deliberative bureaucracies,1152631,"R5.2 - Development, and enforcement, of strong legislation in defense of women and girls",43197036,48753364,1152632,1152631,2020-12-19 13:20:49 UTC,2020-12-19 13:20:49 UTC,5.325,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
