Record Type,Skip ID,Appearance ID,Session ID,Wikisurvey ID,Left Choice ID,Left Choice Text,Right Choice ID,Right Choice Text,Prompt ID,Reason,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
Bounce,NA,46451288,6144213,19632,1148748,R17.2 - Códigos de práctica profesional en entornos organizativos y profesionales bajo el uso de IA y tecnologías digitales,1148750,R17.4 - Realizar esfuerzos gubernamentales para acercar la IA y las tecnologías digitales a toda la sociedad,43064576,NA,2020-10-27 10:45:26 UTC,2020-10-27 10:45:26 UTC,NA,"",TRUE,a2707e31d6e7862d49313975dff1b17f,ODS17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46568006,6157532,19632,1148750,R17.4 - Realizar esfuerzos gubernamentales para acercar la IA y las tecnologías digitales a toda la sociedad,1148748,R17.2 - Códigos de práctica profesional en entornos organizativos y profesionales bajo el uso de IA y tecnologías digitales,43064577,NA,2020-11-10 21:19:23 UTC,2020-11-10 21:19:23 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,ODS17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905633,6177048,19632,1148749,R17.3 - Impulsar alianzas globales en el uso extendido de recolección de datos económicamente sostenible,1148748,R17.2 - Códigos de práctica profesional en entornos organizativos y profesionales bajo el uso de IA y tecnologías digitales,43064578,NA,2020-11-26 09:42:48 UTC,2020-11-26 09:42:48 UTC,NA,"",TRUE,cf6711860e7f5b3790f0b07f9a91dbfc,ODS17,Mozilla/5.0 (TweetmemeBot/4.0; +http://datasift.com/bot.html) Gecko/20100101 Firefox/31.0,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905676,6177090,19632,1148747,R17.1 - Alianzas para IA y tecnologías digitales fundamentadas por principios éticos y expertos multidisciplinares,1148749,R17.3 - Impulsar alianzas globales en el uso extendido de recolección de datos económicamente sostenible,43064579,NA,2020-11-26 09:43:13 UTC,2020-11-26 09:43:13 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS17,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905677,6177091,19632,1148747,R17.1 - Alianzas para IA y tecnologías digitales fundamentadas por principios éticos y expertos multidisciplinares,1148749,R17.3 - Impulsar alianzas globales en el uso extendido de recolección de datos económicamente sostenible,43064579,NA,2020-11-26 09:43:14 UTC,2020-11-26 09:43:14 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS17,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905694,6177108,19632,1148749,R17.3 - Impulsar alianzas globales en el uso extendido de recolección de datos económicamente sostenible,1148748,R17.2 - Códigos de práctica profesional en entornos organizativos y profesionales bajo el uso de IA y tecnologías digitales,43064578,NA,2020-11-26 09:43:27 UTC,2020-11-26 09:43:27 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS17,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905711,6177125,19632,1148748,R17.2 - Códigos de práctica profesional en entornos organizativos y profesionales bajo el uso de IA y tecnologías digitales,1148749,R17.3 - Impulsar alianzas globales en el uso extendido de recolección de datos económicamente sostenible,43064580,NA,2020-11-26 09:43:34 UTC,2020-11-26 09:43:34 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS17,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905744,6177158,19632,1148748,R17.2 - Códigos de práctica profesional en entornos organizativos y profesionales bajo el uso de IA y tecnologías digitales,1148747,R17.1 - Alianzas para IA y tecnologías digitales fundamentadas por principios éticos y expertos multidisciplinares,43064581,NA,2020-11-26 09:44:03 UTC,2020-11-26 09:44:03 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS17,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905745,6177159,19632,1148750,R17.4 - Realizar esfuerzos gubernamentales para acercar la IA y las tecnologías digitales a toda la sociedad,1148748,R17.2 - Códigos de práctica profesional en entornos organizativos y profesionales bajo el uso de IA y tecnologías digitales,43064577,NA,2020-11-26 09:44:03 UTC,2020-11-26 09:44:03 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS17,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905788,6177196,19632,1148748,R17.2 - Códigos de práctica profesional en entornos organizativos y profesionales bajo el uso de IA y tecnologías digitales,1148749,R17.3 - Impulsar alianzas globales en el uso extendido de recolección de datos económicamente sostenible,43064580,NA,2020-11-26 09:50:27 UTC,2020-11-26 09:50:27 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS17,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
